,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
216,0.06110418,0.3282337,0.060699344,0.016264478,0.37651208,0.12730311,0.01789327,0.011989922
217,0.07137874,0.31490067,0.059618335,0.019521168,0.36981377,0.12921476,0.017528465,0.018024048
218,0.06392466,0.31996393,0.06574426,0.01845032,0.36773992,0.13012375,0.020759104,0.013294033
219,0.06890239,0.32912102,0.045787424,0.015067174,0.39128622,0.12136871,0.010856465,0.017610539
220,0.058085687,0.32660672,0.06600882,0.016274188,0.37412378,0.12824741,0.020462207,0.010191249
221,0.05708652,0.33277228,0.060978252,0.014957085,0.38023108,0.12609847,0.017833645,0.010042606
222,0.05479281,0.32251492,0.075631455,0.017053062,0.3648175,0.13042149,0.026285302,0.0084834285
223,0.04697303,0.2915818,0.115577616,0.020752175,0.3281158,0.13429442,0.057621278,0.005083898
224,0.06426095,0.31224272,0.07310314,0.020324893,0.3592121,0.13261695,0.025115946,0.013123258
225,0.048669875,0.32078242,0.08586168,0.016446792,0.35870758,0.13064319,0.032912377,0.0059760916
226,0.048381086,0.27962828,0.12441026,0.023275988,0.31635848,0.13547815,0.06703334,0.005434386
227,0.056407463,0.3154425,0.08110499,0.018868037,0.35639694,0.13265848,0.030086517,0.00903514
228,0.057658374,0.33598986,0.05633087,0.014191029,0.3855769,0.12422427,0.015510038,0.010518672
229,0.0542612,0.34613997,0.049055927,0.011747208,0.3981156,0.11933879,0.012033549,0.009307807
230,0.06452151,0.3019116,0.083852656,0.023068246,0.34581423,0.13570265,0.032322943,0.01280617
231,0.059108477,0.34230715,0.04643104,0.012522682,0.39738876,0.11942235,0.011028041,0.011791443
232,0.061345205,0.3083807,0.08193818,0.021192623,0.35044307,0.13440493,0.031005902,0.011289438
233,0.052212626,0.35588452,0.040712316,0.00967308,0.41034535,0.113603055,0.008656561,0.008912477
234,0.053542025,0.32375956,0.07591224,0.01661302,0.36576784,0.13006061,0.026409263,0.007935414
235,0.059278578,0.29712284,0.09552659,0.02326269,0.33761215,0.13658036,0.04073355,0.00988324
236,0.087859966,0.28965956,0.06320897,0.027335849,0.3473165,0.13293226,0.02030184,0.03138509
237,0.049708575,0.3055744,0.09954738,0.019270243,0.3428084,0.13359113,0.043446478,0.0060534473
238,0.07643986,0.27957794,0.09060435,0.03133901,0.3230312,0.13968448,0.03892717,0.020396026
239,0.077135205,0.26304278,0.105189435,0.036902826,0.3031942,0.1418938,0.052072283,0.020569406
240,0.050126065,0.31529096,0.08920197,0.017673047,0.35385355,0.13195176,0.035477582,0.006425095
241,0.09055937,0.28852224,0.05970873,0.027195517,0.34956494,0.1315396,0.018391337,0.034518264
242,0.07745221,0.2904618,0.07807409,0.027749265,0.33829626,0.1370214,0.029403448,0.02154144
243,0.094387606,0.28255656,0.06126729,0.029690094,0.34107703,0.13247573,0.019663017,0.038882647
244,0.09118649,0.26712567,0.082472004,0.037138395,0.31414652,0.13931225,0.034313377,0.03430521
245,0.101422966,0.2328398,0.09863632,0.052726932,0.27600077,0.14111264,0.050323986,0.046936564
246,0.09239117,0.26585174,0.08152821,0.037226185,0.31551164,0.13902943,0.033370428,0.035091236
247,0.08471937,0.24382879,0.11166921,0.045334097,0.28405237,0.14267518,0.060552258,0.027168725
248,0.12960225,0.165149,0.10222509,0.09081454,0.19740893,0.12782802,0.065149724,0.12182245
249,0.12387615,0.22284736,0.07346793,0.055151448,0.27199808,0.13232854,0.031160265,0.08917023
250,0.105832316,0.22751227,0.096694075,0.05515134,0.27274984,0.1402012,0.048858527,0.05300045
251,0.07755584,0.2979727,0.06957707,0.025028022,0.34992588,0.13430691,0.023717454,0.02191606
252,0.10951247,0.22797209,0.091097236,0.05464404,0.27531308,0.13895743,0.04400849,0.058495097
253,0.11442656,0.24218404,0.0709555,0.045840897,0.29734945,0.1342838,0.027540969,0.06741878
254,0.13147734,0.18743095,0.088044815,0.07516721,0.22702293,0.13008189,0.04646283,0.11431206
255,0.123509124,0.17360702,0.108051,0.08628576,0.20805979,0.13174626,0.06938478,0.099356204
256,0.10579018,0.16530554,0.13655506,0.09048142,0.19603486,0.13283297,0.10905629,0.063943684
257,0.109505415,0.15837184,0.13477291,0.09591999,0.187267,0.13077135,0.10898433,0.074407145
258,0.11129344,0.23465021,0.08253348,0.0505651,0.28601155,0.13739556,0.03633504,0.06121554
259,0.11457416,0.2336111,0.07831707,0.050566167,0.28612855,0.13591106,0.033362765,0.06752909
260,0.10151574,0.19512425,0.1261383,0.07148428,0.23284037,0.1392317,0.084389396,0.049275983
261,0.11640557,0.19993392,0.10220967,0.07029993,0.24097374,0.13681267,0.058208067,0.0751564
262,0.07701269,0.23549566,0.12759686,0.045255512,0.27626893,0.14211166,0.07601617,0.020242527
263,0.115386836,0.19688813,0.106138505,0.07214394,0.2373116,0.13701445,0.06241894,0.07269759
264,0.09495876,0.24255806,0.09911705,0.04707657,0.28845605,0.14176153,0.04854885,0.037523117
265,0.10627268,0.1812672,0.12791912,0.08078376,0.2159928,0.13641016,0.0914829,0.05987134
266,0.084225796,0.19652039,0.14684814,0.0637033,0.2324771,0.138998,0.10921089,0.028016401
267,0.08467617,0.21531245,0.13357186,0.0560318,0.25368968,0.14145787,0.0878073,0.027452873
268,0.09922672,0.17784019,0.13951668,0.07995572,0.21306102,0.13628785,0.10589672,0.048215147
269,0.10349898,0.1650736,0.13999076,0.08956332,0.19661845,0.13303219,0.11299338,0.05922926
270,0.09166022,0.113567956,0.17518184,0.10700674,0.15512826,0.121996015,0.18599443,0.049464498
271,0.09896929,0.162069,0.1475808,0.08832075,0.19601387,0.13289507,0.12342731,0.050723966
272,0.11310135,0.1399131,0.1382339,0.106960215,0.16857582,0.1261533,0.117361136,0.08970116
273,0.107684776,0.19040495,0.12078632,0.075698964,0.22754414,0.13772163,0.07975206,0.060407218
